Sorting by Dashbah
selectionSort
Randomfrom0to5
	Small data:
	50,51,7930
100,200,30930
150,428,68890
200,761,121930
250,1178,189880
300,1750,272910

Big data: 
100,200,30930
200,740,121930
300,1677,272910
400,2884,483900
500,4520,754890
600,6384,1085950
700,14284,1477000
800,11644,1928060
900,14293,2439020
1000,17656,3010020
1100,21833,3641110
1200,24000,4332180
1300,27422,5083210
1400,31779,5894200
1500,36843,6765250
1600,41914,7696170
1700,47613,8687220
1800,53061,9738330
1900,59435,10849280
2000,64922,12020310
2100,70945,13251300
2200,78064,14542330
2300,85769,15893410
2400,94815,17304460
2500,103894,18775480
2600,128951,20306440
2700,118678,21897420
2800,126516,23548480
2900,136747,25259400
3000,143759,27030460
3100,153441,28861400
3200,164523,30752440
3300,176316,32703440
3400,186869,34714530
3500,196470,36785450
3600,208087,38916650
3700,221119,41107620
3800,230775,43358660
3900,246753,45669650
4000,256344,48040750
4100,269074,50471820
Randomfrom0to4100
	Small data:
	50,52,8060
100,201,31260
150,440,69490
200,751,122740
250,1154,191010
300,1622,274200

Big data: 
100,201,31260
200,751,122740
300,1610,274200
400,2851,485860
500,4400,757320
600,6262,1089000
700,8424,1480440
800,10738,1932060
900,13538,2443770
1000,16689,3015280
1100,20048,3646890
1200,23830,4338950
1300,27909,5090280
1400,32287,5902150
1500,36883,6773420
1600,41895,7705290
1700,47192,8696770
1800,52912,9748560
1900,58791,10860240
2000,65055,12031980
2100,72555,13263620
2200,80033,14555010
2300,87145,15907350
2400,93984,17318700
2500,101658,18790640
2600,110709,20322430
2700,117916,21914090
2800,128197,23565660
2900,136935,25276980
3000,146171,27048970
3100,155599,28880140
3200,166530,30771960
3300,177458,32723520
3400,187329,34735720
3500,201160,36807640
3600,210822,38939300
3700,220875,41131570
3800,234187,43382710
3900,248290,45694750
4000,257291,48066010
4100,274687,50497780
AlmostSorted
	Small data:
	50,41,8030
100,170,31080
150,382,69130
200,677,122180
250,1058,190220
300,1511,273270

Big data: 
100,170,31080
200,679,122180
300,1515,273270
400,2619,484370
500,4044,755470
600,5851,1086570
700,8030,1477660
800,10456,1928760
900,13199,2439850
1000,16329,3010950
1100,19734,3642040
1200,23455,4333140
1300,27203,5084230
1400,31338,5895330
1500,36376,6766430
1600,41217,7697530
1700,46410,8688620
1800,51629,9739720
1900,57667,10850810
2000,63731,12021910
2100,71180,13253000
2200,78489,14544100
2300,86100,15895190
2400,92053,17306290
2500,99945,18777390
2600,108119,20308490
2700,116420,21899580
2800,125414,23550680
2900,135465,25261770
3000,144122,27032870
3100,155367,28863960
3200,163616,30755060
3300,174888,32706150
3400,185393,34717250
3500,194669,36788350
3600,206667,38919450
3700,219972,41110540
3800,230952,43361640
3900,246038,45641860
4000,255657,48012160
4100,269754,50442460
Reversed
	Small data:
	50,51,8440
100,190,33140
150,419,74090
200,730,131290
250,1129,204740
300,1613,294440

Big data: 
100,190,33140
200,737,131290
300,1621,294440
400,2849,522590
500,4415,815740
600,6347,1173890
700,8602,1597040
800,11197,2085190
900,14163,2638340
1000,17454,3256490
1100,21110,3939640
1200,25070,4687790
1300,29403,5500940
1400,33881,6379090
1500,38649,7322240
1600,44063,8330390
1700,49533,9403540
1800,55706,10541690
1900,62169,11744840
2000,69317,13012990
2100,76420,14346140
2200,83564,15744290
2300,90889,17207440
2400,98506,18735590
2500,106367,20328740
2600,115586,21986890
2700,124334,23710040
2800,133122,25498190
2900,145035,27351340
3000,154558,29269490
3100,164003,31252640
3200,174577,33300790
3300,186531,35413940
3400,197862,37592090
3500,210153,39835240
3600,221017,42143390
3700,234195,44516540
3800,246354,46954690
3900,259403,49457840
4000,273865,52025990
4100,288252,54659140
bubbleSort
Randomfrom0to5
	Small data:
	50,91,15170
100,390,64170
150,865,140040
200,1524,256180
250,2422,403280
300,3472,576980

Big data: 
100,381,64170
200,1529,256180
300,3497,576980
400,6350,1028280
500,10134,1616190
600,14757,2327960
700,19784,3164300
800,25653,4132960
900,32550,5225580
1000,40523,6451470
1100,49353,7830720
1200,59596,9328220
1300,70013,10916700
1400,80845,12639670
1500,92484,14509910
1600,105964,16466010
1700,119369,18570540
1800,134294,20857760
1900,149562,23238980
2000,172488,25627680
2100,184088,28286460
2200,203130,31005380
2300,237323,33929240
2400,244147,37027600
2500,263316,40189510
2600,283888,43341670
2700,303479,46635960
2800,327293,50228680
2900,353017,53919060
3000,377723,57748390
3100,403525,61526290
3200,429338,65504170
3300,461083,69783220
3400,486669,74084290
3500,512215,78377010
3600,542382,82977470
3700,575088,87627970
3800,607952,92381520
3900,635736,97254490
4000,669759,102220230
4100,707572,107494770
Randomfrom0to4100
	Small data:
	50,91,16310
100,400,67640
150,868,149510
200,1568,267230
250,2451,415900
300,3551,596760

Big data: 
100,400,67640
200,1584,267230
300,3633,596760
400,6599,1076630
500,10238,1670820
600,14844,2410580
700,20445,3300200
800,27199,4311220
900,34720,5462960
1000,43084,6755640
1100,52369,8199370
1200,62482,9754690
1300,73182,11393280
1400,83748,13159930
1500,94375,15089050
1600,108661,17234040
1700,125251,19517590
1800,140733,21908180
1900,156116,24391760
2000,173247,27034990
2100,188008,29717660
2200,207567,32633040
2300,228489,35644000
2400,249198,38763340
2500,271201,42141910
2600,293809,45621100
2700,319180,49306660
2800,340989,52969040
2900,366240,56719390
3000,394510,60830960
3100,419079,65082730
3200,452331,69537670
3300,480412,73971360
3400,508578,78512960
3500,539287,83145910
3600,571019,88064600
3700,605232,93030160
3800,638527,98345820
3900,674652,103826470
4000,709756,109118310
4100,745549,114724810
AlmostSorted
	Small data:
	50,40,11660
100,170,45830
150,380,102510
200,679,181680
250,1058,283350
300,1502,407520

Big data: 
100,170,45830
200,689,181680
300,1535,407520
400,2696,723370
500,4140,1129210
600,5905,1625060
700,8026,2210910
800,10610,2886760
900,13426,3652600
1000,16293,4508450
1100,20002,5454290
1200,23829,6490140
1300,28079,7615980
1400,32424,8831830
1500,37160,10137670
1600,42360,11533520
1700,47829,13019360
1800,53828,14595210
1900,59253,16261050
2000,65739,18016900
2100,72903,19862740
2200,80042,21798590
2300,87344,23824430
2400,95183,25940280
2500,103154,28146120
2600,111469,30441970
2700,120311,32827820
2800,129430,35303670
2900,138669,37869510
3000,148439,40525360
3100,158514,43271200
3200,168928,46107050
3300,178698,49032890
3400,190536,52048740
3500,202302,55154580
3600,213234,58350430
3700,225955,61636270
3800,242020,65012120
3900,251133,68512980
4000,264353,72067930
4100,277342,75712880
Reversed
	Small data:
	50,100,22240
100,410,89490
150,933,201740
200,1671,358990
250,2578,561240
300,3719,808490

Big data: 
100,420,89490
200,1663,358990
300,3733,808490
400,6631,1437990
500,10358,2247490
600,14940,3236990
700,20306,4406490
800,26596,5755990
900,33508,7285490
1000,41318,8994990
1100,50002,10884490
1200,59381,12953990
1300,69474,15203490
1400,80624,17632990
1500,92919,20242490
1600,105731,23031990
1700,118895,26001490
1800,133491,29150990
1900,149118,32480490
2000,165176,35989990
2100,181253,39679490
2200,198443,43548990
2300,217670,47598490
2400,236779,51827990
2500,258001,56237490
2600,279462,60826990
2700,300442,65596490
2800,323177,70545990
2900,346871,75675490
3000,370472,80984990
3100,396160,86474490
3200,421915,92143990
3300,447852,97993490
3400,476819,104022990
3500,504265,110232490
3600,533848,116621990
3700,564869,123191490
3800,599198,129940990
3900,627237,136870490
4000,660538,143979990
4100,692801,151269490
bubbleSort_Iverson1
Randomfrom0to5
	Small data:
	50,90,15040
100,383,65020
150,850,143180
200,1542,262220
250,2418,412990
300,3476,589460

Big data: 
100,381,65020
200,1547,262220
300,3510,589460
400,6314,1049170
500,9846,1648360
600,14240,2374450
700,19648,3224440
800,25858,4213100
900,32742,5310820
1000,40622,6570230
1100,49599,7969290
1200,58899,9489520
1300,69442,11099770
1400,80341,12854740
1500,92459,14742800
1600,106490,16718930
1700,118955,18856650
1800,134077,21190480
1900,149059,23614550
2000,165401,26020910
2100,182219,28729230
2200,200228,31486320
2300,219292,34455530
2400,238806,37609480
2500,259496,40796440
2600,279062,44014590
2700,301863,47357160
2800,325522,50975360
2900,349410,54728930
3000,375584,58611810
3100,398710,62406440
3200,426881,66456090
3300,452153,70790540
3400,481304,75180800
3500,510599,79525310
3600,539274,84151940
3700,571067,88884450
3800,603650,93669560
3900,632256,98636650
4000,664032,103713190
4100,698480,109008930
Randomfrom0to4100
	Small data:
	50,91,15950
100,406,69040
150,892,154800
200,1616,276870
250,2500,426720
300,3648,615360

Big data: 
100,415,69040
200,1612,276870
300,3657,615360
400,6749,1110870
500,10402,1728930
600,15024,2496570
700,20680,3414560
800,27131,4460110
900,34463,5662430
1000,42849,6986800
1100,52150,8506190
1200,62126,10106310
1300,73321,11802170
1400,84195,13639460
1500,95887,15635310
1600,109137,17860900
1700,124440,20237450
1800,139388,22709840
1900,155592,25269740
2000,172928,27991310
2100,189922,30801550
2200,208763,33842140
2300,228691,36961330
2400,249141,40151060
2500,271937,43696480
2600,294240,47314990
2700,319794,51097840
2800,343054,54935590
2900,368349,58817570
3000,401183,63079290
3100,425075,67482110
3200,454122,72042320
3300,481670,76726080
3400,512310,81428640
3500,541857,86228320
3600,572606,91353530
3700,605265,96514230
3800,642044,102046240
3900,677085,107730790
4000,708444,113243540
4100,745755,118987040
AlmostSorted
	Small data:
	50,0,1370
100,10,2770
150,10,4170
200,20,5570
250,24,6960
300,30,8360

Big data: 
100,10,2770
200,20,5570
300,30,8360
400,40,11160
500,50,13950
600,69,16750
700,80,19540
800,90,22340
900,100,25130
1000,110,27930
1100,120,30720
1200,140,33520
1300,150,36310
1400,160,39110
1500,170,41900
1600,180,44700
1700,190,47490
1800,210,50290
1900,220,53080
2000,230,55880
2100,245,58670
2200,250,61470
2300,265,64260
2400,280,67060
2500,290,69850
2600,300,72650
2700,310,75440
2800,320,78240
2900,332,81030
3000,350,83830
3100,360,86620
3200,370,89420
3300,380,92210
3400,390,95010
3500,404,97800
3600,423,100600
3700,430,103390
3800,443,106190
3900,250469,68528480
4000,264305,72034880
4100,276892,75541280
Reversed
	Small data:
	50,102,23570
100,420,94640
150,959,213220
200,1683,379290
250,2613,592870
300,3765,853940

Big data: 
100,422,94640
200,1690,379290
300,3799,853940
400,6766,1518590
500,10534,2373240
600,15163,3417890
700,20628,4652540
800,26937,6077190
900,33891,7691840
1000,42033,9496490
1100,50857,11491140
1200,60497,13675790
1300,71036,16050440
1400,82021,18615090
1500,95018,21369740
1600,107514,24314390
1700,121339,27449040
1800,136013,30773690
1900,151551,34288340
2000,167724,37992990
2100,184926,41887640
2200,203519,45972290
2300,221776,50246940
2400,241101,54711590
2500,262378,59366240
2600,283688,64210890
2700,305965,69245540
2800,328721,74470190
2900,352724,79884840
3000,377724,85489490
3100,402802,91284140
